session id;brick height;paddle speed;ball speed;time; paddle distance; ballHits; amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction
1;4.5;25;10;7.040347;0.01819898;0;26;0;1;172.5737;0.03319016;1.161863;1;3;0;1;4.25
2;4.5;25;10;13.70272;12.69818;2;24;0;1;172.5737;0.03319016;1.161863;1;1;2;2;5.75
3;4.5;25;10;6.041634;7.592769;0;26;0;1;172.5737;0.03319016;1.161863;1;1;2;1;5.25
4;4.5;25;10;7.120446;9.144956;0;26;0;1;172.5737;0.03319016;1.161863;1;1;2;1;5.25
5;4.5;25;10;11.3423;11.16851;2;24;0;1;172.5737;0.03319016;1.161863;1;1;2;2;5.75
6;4.5;25;10;7.780657;8.728866;1;25;0;1;172.5737;0.03319016;1.161863;1;1;2;2;5.75
7;4.5;25;10;7.881892;6.094424;1;24;0;1;172.5737;0.03319016;1.161863;1;1;2;2;5.75
8;4.5;25;10;5.501352;4.570019;1;24;0;1;172.5737;0.03319016;1.161863;1;1;2;2;5.75
9;4.5;25;10;9.721885;3.829248;1;24;0;1;172.5737;0.03319016;1.161863;1;1;2;2;5.75
