session id;time;paddle distance;ballHits;ballBounces;amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction;brick height_rl;paddle speed_rl;ball speed_rl;paddle length_rl;ball size_rl;brick height_multi;paddle speed_multi;ball speed_multi;paddle length_multi;ball size_multi;brick height_single;paddle speed_single;ball speed_single;paddle length_single;ball size_single
3;91.93658;423.2943;24;60;0;1;2;422.8975;0.007807532;1.201791;4;3;3;4;14.0;3.57502;15.0;2.0;30.0;6.0;4.003310636687627;16.804411034942042;7.357108701033213;29.074597018306655;4.009307149664529;3.9976457537947314;16.808634126614738;7.269866498068497;29.044601231342398;4.020974522056524
8;115.3127;1166.507;31;84;0;1;3;241.1087;0.03132493;0.9042872999999999;5;5;4;4;18.25;5.0;15.0;6.173818;30.0;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
4;114.5728;306.0097;21;62;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;3;14.75;3.727873;15.0;2.0;24.40059;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
6;60.50119;276.2996;24;44;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;1.972539;15.0;2.0;30.0;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
7;103.9546;348.4997;28;54;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;3.6534269999999998;15.0;2.0;30.0;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
2;83.11806;648.8023;18;64;0;1;1;172.5737;0.03319016;1.1618629999999999;5;4;4;3;17.0;2.9447970000000003;15.0;2.0;30.0;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
4;83.67797;594.2008;29;60;0;1;1;172.5737;0.03319016;1.1618629999999999;5;3;4;4;16.75;2.948402;15.0;2.0;30.0;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
1;24.780379999999997;533.4999;7;27;14;0;2;397.9774;0.0054280809999999995;1.258794;5;2;5;4;14.25;2.866891;35.0;9.389803;10.0;2.61026;4.064923589100942;16.187082021553287;7.253283694104774;29.638952982524227;4.005232364139832;4.061416298772176;16.21664939104093;7.2039327150966415;29.648473238657544;3.976139946707776
10;94.2562;855.6054;27;66;0;1;3;167.3578;0.03786918;1.077184;5;3;3;4;15.5;5.0;15.0;3.1217740000000003;30.0;6.0;4.236935288300244;16.215649292729093;6.872284651726023;29.26650084481297;4.313119494726679;4.261492118208462;16.690119190695082;6.680774521269117;29.059151269922943;4.451926431614546
2;141.1133;529.8006;37;72;0;1;5;473.5743;0.007544647;1.154614;4;3;4;4;15.25;5.0;15.0;2.0;30.0;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
3;75.19939000000001;510.897;33;68;0;1;5;473.5743;0.007544647;1.154614;4;3;5;4;16.5;4.076541000000001;17.59776;7.702769;28.77862;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
2;70.02026;407.1998;16;55;4;0;4;151.2152;0.0051441970000000005;1.075917;4;3;4;4;14.5;1.459745;15.0;2.0;30.0;6.0;4.122887878248963;16.267510156427942;6.4463212900274005;29.199714734115396;4.223322946041168;4.164939362050628;16.362727440475187;6.2251433356533274;29.37612784185803;4.268171478044971
2;74.15957;413.7999;26;55;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;1.7104409999999999;15.0;2.0;28.0569;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
6;112.9531;666.4025;33;77;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;4.845778;15.0;2.156848;25.705070000000003;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
9;119.09200000000001;473.8001;28;57;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;5.0;15.0;2.0;24.85849;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
3;71.58;485.9;15;39;8;0;1;212.1012;0.03423861;1.041402;5;2;4;4;16.0;5.0;15.0;3.282885;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
5;122.8114;807.2051;32;62;2;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;5.0;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
7;41.380759999999995;274.0995;11;23;15;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;4.853521;15.0;3.016338;15.49059;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
10;78.49884;472.4;25;62;0;1;1;212.1012;0.03423861;1.041402;5;3;4;4;16.75;2.850053;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
3;71.58;542.6004;27;59;0;1;2;422.8975;0.007807532;1.201791;4;3;3;4;14.0;2.9519130000000002;15.0;4.336259;30.0;6.0;4.003310636687627;16.804411034942042;7.357108701033213;29.074597018306655;4.009307149664529;3.9976457537947314;16.808634126614738;7.269866498068497;29.044601231342398;4.020974522056524
4;26.10041;281.2997;15;37;5;0;3;241.1087;0.03132493;0.9042872999999999;4;3;4;3;14.75;4.392362;15.0;10.412180000000001;27.176440000000003;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
6;72.65982;808.5049;26;70;0;1;3;241.1087;0.03132493;0.9042872999999999;5;5;4;4;18.25;5.0;15.0;6.087036;26.11254;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
10;49.18093;435.92400000000004;20;54;0;1;3;241.1087;0.03132493;0.9042872999999999;5;4;3;4;16.25;2.978323;15.0;2.469754;30.0;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
3;140.4532;482.64;28;62;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;3;14.75;3.8596269999999997;15.0;2.0;26.6389;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
8;61.84121999999999;352.0997;24;47;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;3.712389;15.0;5.549037;29.0831;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
9;35.20061;332.4997;11;33;13;0;5;417.9801;0.008333521;1.0543200000000001;4;3;4;5;15.75;5.0;15.0;7.611539;29.55167;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
3;40.20073;282.6996;13;33;9;0;1;172.5737;0.03319016;1.1618629999999999;5;3;4;5;17.25;4.763407;15.0;3.100997;30.0;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
5;86.99741;649.9023;20;37;4;0;1;172.5737;0.03319016;1.1618629999999999;5;2;4;5;16.5;3.832384;15.0;2.0;30.0;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
7;91.63663000000001;684.8028;24;55;0;1;1;172.5737;0.03319016;1.1618629999999999;5;3;4;4;16.75;4.2325550000000005;15.0;2.0;29.28407;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
9;50.14096;502.1001;22;57;0;1;2;397.9774;0.0054280809999999995;1.258794;5;3;5;4;15.75;2.057458;15.0;7.002305000000001;30.0;6.0;4.064923589100942;16.187082021553287;7.253283694104774;29.638952982524227;4.005232364139832;4.061416298772176;16.21664939104093;7.2039327150966415;29.648473238657544;3.976139946707776
5;79.03875;604.9011;20;49;0;1;3;167.3578;0.03786918;1.077184;5;3;3;4;15.5;2.3804369999999997;15.0;2.0;30.0;6.0;4.236935288300244;16.215649292729093;6.872284651726023;29.26650084481297;4.313119494726679;4.261492118208462;16.690119190695082;6.680774521269117;29.059151269922943;4.451926431614546
2;138.8929;591.2485;38;75;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;4.491003;15.0;2.0;30.0;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
3;29.820490000000003;275.2396;9;22;12;0;6;382.4972;0.009612706;1.019206;3;3;4;5;14.25;5.0;21.56361;3.179215;10.0;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
5;104.8744;525.0004;34;66;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;3.7537480000000003;15.0;6.309752;30.0;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
7;99.87525;566.6011;27;65;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;3.1607439999999998;15.0;2.0;24.82333;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
9;97.71561;526.6176;29;70;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;3.2100419999999996;15.0;2.0;26.26094;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
3;40.46074;240.3996;14;20;14;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;1.869464;15.0;3.191391;24.8582;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
4;12.36009;103.8;5;13;18;0;1;212.1012;0.03423861;1.041402;3;4;4;5;15.0;4.787719;15.0;7.715447;18.21205;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
6;53.10102;344.5998;9;24;15;0;1;212.1012;0.03423861;1.041402;5;3;4;4;16.75;5.0;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
8;86.95742;384.5578;20;41;10;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;5.0;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
10;138.4528;884.0987;38;90;0;1;1;212.1012;0.03423861;1.041402;5;3;4;4;16.75;5.0;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
3;88.99708000000001;908.6068;38;86;0;1;2;422.8975;0.007807532;1.201791;5;3;4;4;15.25;3.599697;15.0;8.451113000000001;29.335379999999997;6.0;4.003310636687627;16.804411034942042;7.357108701033213;29.074597018306655;4.009307149664529;3.9976457537947314;16.808634126614738;7.269866498068497;29.044601231342398;4.020974522056524
3;31.680529999999997;442.1999;9;34;18;0;3;241.1087;0.03132493;0.9042872999999999;4;4;3;4;14.75;5.0;15.0;11.27993;30.0;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
7;87.73729;496.2998;18;61;0;1;3;241.1087;0.03132493;0.9042872999999999;5;4;2;4;15.0;3.426332;15.0;2.0;30.0;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
10;92.49649000000001;858.1948;30;67;0;1;3;241.1087;0.03132493;0.9042872999999999;5;3;3;4;15.5;4.567219000000001;15.0;2.0;25.67418;6.0;4.208756475888465;17.035446657886457;7.345350353702414;29.48309642634769;4.5749599066366615;4.2037453672441885;17.116829187797993;7.30415429499096;29.453994589351034;4.585760673605437
2;124.971;304.4996;27;53;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;3;14.75;2.988205;15.0;2.0;30.0;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
4;104.9744;301.3996;31;54;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;4.104957;15.0;2.521743;30.0;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
6;109.2337;527.1005;35;63;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;4.359054;15.0;5.100697;30.0;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
9;49.60094;623.2014;21;43;10;0;5;417.9801;0.008333521;1.0543200000000001;3;1;5;5;14.0;5.0;23.901329999999998;6.905182000000001;18.136229999999998;5.659102;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
2;44.20082;340.5996;14;28;11;0;1;172.5737;0.03319016;1.1618629999999999;5;2;4;5;16.5;3.238633;15.0;2.506063;26.72017;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
10;52.84101999999999;254.8995;13;20;13;0;1;172.5737;0.03319016;1.1618629999999999;5;2;4;5;16.5;4.6402410000000005;15.0;2.0;25.83374;6.0;4.225377357498925;16.889565139575176;3.65919320931246;28.912478963373538;4.629837828859057;4.223569420390105;16.8925820388859;3.677281938539111;28.905198468355128;4.603668521011898
5;83.13806;548.6069;22;80;0;1;2;397.9774;0.0054280809999999995;1.258794;4;3;4;5;15.75;1.547495;15.0;2.0;30.0;6.0;4.064923589100942;16.187082021553287;7.253283694104774;29.638952982524227;4.005232364139832;4.061416298772176;16.21664939104093;7.2039327150966415;29.648473238657544;3.976139946707776
4;87.15739;376.6997;34;60;0;1;5;473.5743;0.007544647;1.154614;4;3;4;4;15.25;1.996764;15.0;3.648509;30.0;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
7;133.7918;343.3997;25;66;0;1;5;473.5743;0.007544647;1.154614;4;3;4;3;14.75;2.584117;15.0;2.0;27.670809999999996;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
8;134.0318;316.6997;30;55;0;1;5;473.5743;0.007544647;1.154614;4;3;4;4;15.25;2.751606;15.0;2.0;28.42489;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
10;146.4345;463.7035;23;56;0;1;5;473.5743;0.007544647;1.154614;4;3;4;3;14.75;5.0;15.0;2.0;23.96438;6.0;3.8209700390755374;17.13122972970949;5.0235649753746054;28.643146366835;4.213406497615596;3.8019475503036935;17.083133528467034;5.004680552013839;28.692645840199177;4.190636605264031
2;114.0729;559.701;30;56;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;3.5661669999999996;15.0;2.974512;27.804809999999996;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
7;48.58092;197.1998;6;52;0;1;6;382.4972;0.009612706;1.019206;5;5;4;3;17.75;1.466968;15.0;2.0;14.91145;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
10;95.51598;418.4634;29;47;0;1;6;382.4972;0.009612706;1.019206;4;3;4;4;15.25;3.113597;15.0;4.5091;30.0;6.0;4.001951998174558;16.694849773035806;4.782747826467267;29.223964433028073;4.334741912376802;4.039419909309497;16.994958576512634;4.933972504542415;29.368993408692926;4.3812598073309035
3;38.46069;254.1996;11;19;16;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;3.4721889999999997;15.0;2.0;23.64797;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
6;84.29786999999999;297.5996;20;39;7;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;5.0;15.0;2.0;30.0;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
8;83.75796;652.2024;22;53;4;0;1;212.1012;0.03423861;1.041402;5;2;4;5;16.5;5.0;15.0;2.0;27.759659999999997;6.0;4.238551634157433;17.098346810004934;4.013803293862374;29.034221918211355;4.6482191363067535;4.247583993681589;16.72689657335988;4.208545575679191;29.265984296368963;4.61229270903472
2;86.83744;386.6999;22;63;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;1.762502;15.0;2.409139;20.7717;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
4;29.680490000000002;172.5999;10;20;14;0;5;417.9801;0.008333521;1.0543200000000001;3;3;4;5;14.25;2.936085;15.0;5.170066;15.644739999999999;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
5;124.1912;272.2995;29;62;0;1;5;417.9801;0.008333521;1.0543200000000001;4;3;4;4;15.25;1.873318;15.0;2.436677;30.0;6.0;4.1054628081854645;16.695357750087787;4.807472841341311;29.32271677883521;4.397095845695437;4.074877201206292;16.60414362067257;4.901644104551481;29.36445691024375;4.322749484223075
