session id;brick height;paddle speed;ball speed;paddle length;ball size;time;paddle distance;ballHits;ballBounces;amount of bricks;win/lose;type of personality;playerAPM;playerReactionTime;playerPaddleSafety;GEQ - content;GEQ - skillful;GEQ - occupied;GEQ - difficulty;satisfaction
6;4.521955;21.02901;8.244718;14.87396;2.882012;1.699999;33.60448;0;3;26;0;1;214.7455;0.03755155;1.075172;1;2;0;2;4
7;5;18.80964;6.687189;29.0228;2.512571;26.52042;241.8295;7;20;17;0;1;214.7455;0.03755155;1.075172;4;3;4;5;15.75
8;1.830306;31.73544;6.81979;17.38964;4.774092;5.019996;83.84435;5;7;22;0;1;214.7455;0.03755155;1.075172;1;1;3;5;8.5
9;1.596816;31.40734;2;30;2;9.860036;180.522;4;4;25;0;1;214.7455;0.03755155;1.075172;1;0;3;5;7.75
10;5;35;3.137078;22.05416;2;4.779996;154.3749;0;3;25;0;1;214.7455;0.03755155;1.075172;1;2;0;3;4.5
1;4.933247;25.39415;2;23.31394;2;40.76074;418.5219;5;16;17;0;2;397.4984;0.009796236;1.207537;4;2;4;3;11.75
2;3.602849;15;2;26.92265;4.727951;105.0944;519.2213;26;61;0;1;2;397.4984;0.009796236;1.207537;4;3;2;3;12.25
3;2.42668;35;5.28738;10.75547;2.331114;1.879999;38.79999;0;2;26;0;2;397.4984;0.009796236;1.207537;3;2;3;1;8
4;3.883795;35;4.573967;26.76475;3.675092;61.00121;1345.595;19;37;10;0;2;397.4984;0.009796236;1.207537;4;0;3;3;8.25
5;4.802482;18.79688;12;28.43177;6;42.18077;629.9426;22;57;6;0;2;397.4984;0.009796236;1.207537;4;2;5;3;12.25
6;4.06614;22.02741;8.78441;29.81427;3.923042;1.459999;22.72686;0;2;26;0;2;397.4984;0.009796236;1.207537;3;2;3;1;8
7;4.433917;35;2;21.61423;3.228343;160.2374;3577.936;34;89;0;1;2;397.4984;0.009796236;1.207537;4;2;4;3;11.75
8;1;16.38455;11.15574;10;2.803907;0.6599999;12.18151;0;3;25;0;2;397.4984;0.009796236;1.207537;3;2;3;1;8
9;3.081793;19.54828;9.053853;25.1239;6;7.199994;90.96704;6;11;21;0;2;397.4984;0.009796236;1.207537;2;1;2;2;6.5
10;2.774476;16.16707;2;30;6;172.26;796.011;46;79;0;1;2;397.4984;0.009796236;1.207537;3;2;2;4;11.25
1;1;35;9.209394;10;5.663054;4.839996;157.6833;3;6;23;0;3;190.6231;0.03504384;1.054185;2;2;2;2;8
2;4.44802;21.97838;6.313417;26.69667;6;2.059999;47.63448;1;2;26;0;3;190.6231;0.03504384;1.054185;2;3;2;1;8.25
3;2.852433;33.5554;8.351297;24.37255;5.672797;7.299994;206.7071;3;6;24;0;3;190.6231;0.03504384;1.054185;2;1;2;3;7.75
4;5;35;4.304738;30;3.885637;27.08043;613.186;8;12;20;0;3;190.6231;0.03504384;1.054185;2;1;3;3;9
5;3.490588;19.49899;8.515619;25.58387;3.441568;1.399999;39.07895;0;3;25;0;3;190.6231;0.03504384;1.054185;3;4;1;2;9.75
6;5;29.53986;12;28.94407;2.964235;5.039996;126.2666;3;9;23;0;3;190.6231;0.03504384;1.054185;3;5;2;4;12.75
7;1.538384;20.23734;8.026282;18.68526;2;1.02;15.82078;0;2;26;0;3;190.6231;0.03504384;1.054185;3;4;1;1;9.25
8;5;15;3.044625;19.03331;2.170877;4.899996;57.30151;0;2;26;0;3;190.6231;0.03504384;1.054185;3;4;1;1;9.25
9;5;15;10.21589;27.01975;4.091801;4.719996;58.61932;1;6;25;0;3;190.6231;0.03504384;1.054185;3;4;1;2;9.75
10;4.378995;27.45136;6.590148;10;3.920973;5.839995;105.9019;4;5;25;0;3;190.6231;0.03504384;1.054185;2;2;2;3;8.5
1;3.463963;31.81798;2;26.04253;6;35.76063;826.3758;15;24;13;0;5;388.7137;0.009281365;1.062838;3;1;5;5;14
2;5;30.8937;12;30;6;3.539997;75.75963;1;6;25;0;5;388.7137;0.009281365;1.062838;2;2;0;4;6.5
3;2.59856;21.14192;3.207045;12.38691;2;9.780034;102.8137;5;9;23;0;5;388.7137;0.009281365;1.062838;1;0;4;5;9
4;1.513937;35;2;10;5.433171;47.10089;1020.551;40;17;17;0;5;388.7137;0.009281365;1.062838;2;1;5;5;12.5
5;5;15;2.227022;30;4.914844;116.5525;424.7998;25;49;0;1;5;388.7137;0.009281365;1.062838;4;3;4;3;14.75
6;4.511256;16.13031;5.836997;30;6;62.02123;433.7131;26;48;0;1;5;388.7137;0.009281365;1.062838;4;3;5;4;16.5
7;5;16.20973;9.588567;11.37151;2.767524;13.76013;131.391;4;14;21;0;5;388.7137;0.009281365;1.062838;2;3;3;5;11.5
8;4.253855;31.52553;2;24.93696;5.799754;40.22073;838.6506;11;23;16;0;5;388.7137;0.009281365;1.062838;2;1;3;5;10
9;5;35;12;16.91049;3.412662;3.579997;115.6831;2;4;25;0;5;388.7137;0.009281365;1.062838;2;2;2;4;9
10;5;29.15798;11.18295;16.78273;2;50.90097;971.3939;11;43;13;0;5;388.7137;0.009281365;1.062838;4;2;3;4;13.25
1;3.294535;19.31765;12;20.85798;2.999659;19.74026;278.4815;4;20;21;0;1;172.5737;0.03319016;1.161863;2;2;4;4;11.5
2;1.580497;21.31223;12;25.34941;2.409486;0.7199998;22.74643;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
3;4.971226;15;4.479057;14.78053;4.373585;10.36005;68.53326;4;8;23;0;1;172.5737;0.03319016;1.161863;2;2;2;5;9.5
4;4.178214;34.37288;12;27.31197;4.853172;1.02;26.51051;0;3;25;0;1;172.5737;0.03319016;1.161863;1;2;0;3;4.5
5;3.721292;31.20658;12;19.1496;6;0.9799996;38.4328;1;2;26;0;1;172.5737;0.03319016;1.161863;1;2;2;3;7
6;4.263504;33.64327;9.567472;12.58885;5.693244;9.16002;251.5672;3;10;23;0;1;172.5737;0.03319016;1.161863;1;2;1;5;6.75
7;4.337522;32.39385;8.968316;25.23208;3.044954;2.779998;58.03703;1;5;25;0;1;172.5737;0.03319016;1.161863;1;2;1;4;6.25
8;1.806737;18.3099;8.860298;14.42246;2;0.9799996;12.6477;0;2;26;0;1;172.5737;0.03319016;1.161863;1;2;0;2;4
9;1;16.05622;4.763733;10;5.857455;1.279999;12.53506;0;2;26;0;1;172.5737;0.03319016;1.161863;1;3;0;2;4.75
10;3.783963;15;2;30;2;104.6944;666.8276;21;47;8;0;1;172.5737;0.03319016;1.161863;5;2;4;4;16
1;3.678482;33.40092;4.252;20.91294;6;22.10032;428.7372;5;11;20;0;2;397.9774;0.005428081;1.258794;3;1;3;1;6.5
2;3.553681;15;11.27102;20.56474;2;3.499997;44.22389;1;7;23;0;2;397.9774;0.005428081;1.258794;3;3;4;2;11.25
3;3.766493;20.38659;8.167289;14.69959;2;1.559999;16.73299;0;2;26;0;2;397.9774;0.005428081;1.258794;3;2;3;1;8
4;5;24.84831;2;30;5.995265;131.6513;1588.037;34;75;0;1;2;397.9774;0.005428081;1.258794;4;3;4;4;14.5
5;5;19.20447;5.435302;16.57691;6;7.899993;53.75055;2;4;25;0;2;397.9774;0.005428081;1.258794;2;2;1;2;7.5
6;3.710282;30.13064;4.661647;19.69605;2;10.72006;182.6137;2;8;23;0;2;397.9774;0.005428081;1.258794;3;2;3;2;9.25
7;1;18.0776;7.499899;30;2.608034;57.30112;556.4436;21;67;0;1;2;397.9774;0.005428081;1.258794;4;3;4;5;15.75
8;3.790629;35;10.08694;30;5.791569;15.14016;248.9309;11;21;13;0;2;397.9774;0.005428081;1.258794;5;1;3;3;10.5
9;1.750391;17.50941;12;11.63657;5.167356;0.6999999;16.05584;0;2;26;0;2;397.9774;0.005428081;1.258794;3;2;3;1;8
10;3.680946;30.18488;8.070565;25.68843;3.085087;2.639998;49.26937;1;5;24;0;2;397.9774;0.005428081;1.258794;3;3;4;2;11.25
1;5;35;6.18939;28.88583;6;4.579997;128.7554;2;4;25;0;3;194.3887;0.0321772;1.001356;2;2;2;2;8
2;5;35;5.739532;21.69349;2;16.06018;372.7004;2;10;24;0;3;194.3887;0.0321772;1.001356;3;4;2;3;11.5
3;1.280303;28.02837;8.571692;10;4.961118;0.8399997;22.6817;0;2;26;0;3;194.3887;0.0321772;1.001356;3;4;1;1;9.25
4;5;30.34566;12;24.36235;2;1.279999;44.10781;0;3;25;0;3;194.3887;0.0321772;1.001356;3;4;1;2;9.75
5;5;32.23335;8.752957;26.97365;3.821638;14.18013;310.1678;3;9;24;0;3;194.3887;0.0321772;1.001356;3;3;1;3;9.5
